Name,Price,Body.Location,Category,Company.Name,Company...Mapping.Location,Company...City,Company...U.S..State,Company...Country,Source,id
Barska GB12166 Fitness Watch with Heart Rate Monitor,$49.99,Wrist,Fitness,Barska,"Pomona, California, United States",Pomona,California,United States,Google Results,200
"Belkin GS5 Sport Fit Armband, Black F8M918B1C00",$24.99,Arms,Fitness,Belkin,"Playa Vista, California, United States",Playa Vista,California,United States,Google Results,129
"Bowflex EZ Pro Strapless Heart Rate Monitor Watch, Black",$12.99,Wrist,Medical,Bowflex,"Vancouver, Washington, United States",Vancouver,Washington,United States,Google Results,284
Casio G Shock Watch Solar Atom (gwm500a-1),$67.62,Wrist,Lifestyle,Casio,"Tokyo, Japan",Tokyo,,Japan,Google Results,145
Casio WS220 Solar Runner Digital Wrist Watch; Navy Blue,$39.99,Wrist,Lifestyle,Casio,"Tokyo, Japan",Tokyo,,Japan,Google Results,177
Coleman G7HD-SWIM POV 1080p 5 Megapixel Goggles Camcorder ELBG7HDSWIM,$167.99,Head,Entertainment,Coleman,"Golden, Colorado, United States",Golden,Colorado,United States,Google Results,193
Ekho Fit-18 Heart Rate Monitor 12-2042,$105.99,Wrist,Fitness,Ekho,"Dallas, Texas, United States",Dallas,Texas,United States,Google Results,293
Ekho FiT-9 Women's Heart Rate Monitor 12-2041,$95.12,Wrist,Medical,Ekho,"Dallas, Texas, United States",Dallas,Texas,United States,Google Results,153
Fitbit Flex Cordless Activity/Sleep Tracker - Black,$94.95,Wrist,Fitness,Fitbit,"San Francisco, California, United States",San Francisco,California,United States,Google Results,151
G1 Smartwatch /w Bluetooth Hands-Free Solution Large Black,$57.97,Wrist,Lifestyle,Mota,"San Jose, California, United States",San Jose,California,United States,Google Results,181
"Garmin Forerunner 220 GPS Running Watch, White/Violet",$249.99,Wrist,Fitness,Garmin,"Olathe, Kansas, United States",Olathe,Kansas,United States,Google Results,128
Garmin International Garmin v?_vofit Bundle - Activity tracking wristband - slate (010-01225-35),$169.99,Wrist,Fitness,Garmin,"Olathe, Kansas, United States",Olathe,Kansas,United States,Google Results,164
Garmin Vivofit Fitness Bracelet,$79.99,Wrist,Fitness,Garmin,"Olathe, Kansas, United States",Olathe,Kansas,United States,Google Results,294
"Garmin Vivofita,, Fitness Band",$129.99,Wrist,Fitness,Garmin,"Olathe, Kansas, United States",Olathe,Kansas,United States,Google Results,143
GolfBuddy WT3 Watch White,$169.95,Wrist,Lifestyle,Golf Buddy,"La Palma, California, United States",La Palma,California,United States,Google Results,173
Icebreaker Men's Tech Long Sleeve Shirt Crewe Monsoon/Black (XL),$109.99,Torso,,Icebreaker,"McCarran, Nevada, United States",McCarran,Nevada,United States,Google Results,220
Jawbone - Up - Activity tracking wristband - large size - Blue - for Apple iPad; iPad 1; and more,$79.99,Wrist,Medical,Jawbone,"San Francisco, California, United States",San Francisco,California,United States,Google Results,179
"Jawbone - Up - Activity tracking wristband - medium size - Onyx - for Apple iPhone 3G, 3GS, and more",$112.99,Wrist,Fitness,Jawbone,"San Francisco, California, United States",San Francisco,California,United States,Google Results,142
Jawbone - Up Wristband (large) - Red,$51.99,Wrist,Lifestyle,Jawbone,"San Francisco, California, United States",San Francisco,California,United States,Google Results,169
